id,context,headword,mangarrayi,english,translation,ref,speaker,category1,category2 ,contenttags,functiontags
23,,,narra-ba gergerg,that Emph  teabag plant,the tea-bag plant Vix,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
24,,,na-jorroy-wu,for bush medicine,for bush medicine,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
25,,,ga-nya-wirrijma,Pres you/it scrape,you scrape it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
26,,,a-nya-wirrijma-wu,should  you/it  scrape,you will scrape  it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
27,,,wirrijma nyanggi,scrape     you,scrape it off you,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
28,,,lorlb ga-nya-mi dab-nawu,skin im  Pres you/it bark his,you take off the bark (skin im up),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
29,,,wilg ga-nya-bu-n,scrape  Pres you/it ,you scrape it,,,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
30,,,jurrgjurrg mayawa ja-bardnama,leaf   now          Pres (he or she) put,now she is putting in the leaves,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
31,,,jurrgjurrg-nawu,leaf             it's,its leaves,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
32,,,narra jurrgjurrg,that        leaf,they are leaves,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
33,,,Yirr' wari wardij jurrgjurrg,was throwing  also leaves,she was throwing more leaves (into the container),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
34,,,narra ngugu mi,that water get,get that water,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
35,,,ja-mi wardij ngugu,Pres (she) she is also getting water,she's getting more water,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
36,,,ya-bardnama-wu ngugu,should put  in     water,You should put water in it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
37,,,na-barrigon-gan nya-bardnama,in billy     you/it put,you put it in the billy,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
38,,,barlarlbarlarl a-nya-bardnama,billy            maybe  you  put,you put it in the container (billy),bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
39,,,a-nya-bardnama jalugmayin-gan,maybe   you put     cold   in,you put it in cold water,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
40,,,a-nya-bardnama milgmilg  a-nya-ma-wu a-nya-ba'ma,should you/it put cold      will be you         can you wash, you should put it when you are cold,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
41,,,should you/it put cold      will be you         can you wash,ja-bardnama warlayjnyin-gan,have a wash in it,,,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
42,,,ja-bardnama warlayjnyin-gan,Pres (he/it) put     shade   in,he puts it in the shade,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
43,,,a-nya-mi wuray,maybe you/it  get  later,get it later,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
44,,,bardnama damayi-yan,put             fire        on,put it on the fire,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
45,,,damayi-an ja-na-n,  fire   on    Pres (he/it) burn,it is burning (cooking) on the fire,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
46,,,babnamdag damayi-yan,,he put it on the fire,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
47,,,barrigon-gan,cup       in,in the cup,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
48,,,damayi-an a-nya-bardnama,fire     on     maybe  you/it put,put it on the fire,Sheila_bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
49,,,a-nya-naya-wu na-damayi-an,should you/it cook on the fire,you should cook it on the fire,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
50,,,garrag-wa nya-bardnama,big mob the you/it put,put lots of it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
51,,,wuray a-nya-mi,should you/it get,later you should get it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
52,,,ja-wurla-bardnama mamuny-gan ,Pres  they/it  put       food        in      ,They put it in the food in the coolamon,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
53,,,ya-ni,can (it) rest,it can sit (on the fire),bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
54,,,wuray jalug ya-ma-wu,later  gets cool  will,later when it is cool,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
55,,,jalug ja-ma,is cold Pres  (it),when it's cold,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
56,,,jalug ya-mayn,is cold   might be (it) Past,when it was cold,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
57,,,na-milgmilg ja-ni,with cold Pres (it) is,(when) it's cold,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
58,,,ber’ ja-wurla-ma                                                                           ,cut  Pres they/it,They cut it,MR2-014-A,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
59,,,wub ja-wurla-war na-damayi-an                                                  ,throw on fire Pres they/it fire     on,they put it on the fire,MR2-014-A,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
60,,,ja-wurla-bardnama na-barlarlbarlarl-an                                       ,Pres they/it     put                 billy              in,they put it in a billy,MR2-014-A,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
61,,,jaw bu,pour,pour it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
62,,,jaw ja-bu-n ngugu,pour  Pres (he/it) water,he pours water,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
63,,,jaw ja-bu-n,pour  Pres (he/it) ,he pours it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
64,,,lurlurl'-wi ja-ga-n,pile up without Pres he/it take,she doesn't pile it up (ie pours slowly),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
65,,,larla-yag,dry out  Past,dried out,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
66,,,larla-yag 2,dry out  Past,dried out,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
67,,,mamayanggan,old,old (used for dried ones),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
68,,,mangaya ja-mi na-yijarr,maybe  Pres (it)gets    for good,maybe it gets good (It is ready?),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
69,,,mayawa-ja,now    emph,that's it (its ready),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
70,,,narriwa-ja,that    emph,that's it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Preparing bush medicine
71,,,ga-nya-ba'ma_,Pres you wash,you are washing,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
72,,,mangaya nya-ba'ma-wu,maybe    you   wash   will,Maybe you will  wash ,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
73,,,narriwa nya-mi nya-ba'ma,that one you/it get  you  bogey,you get that one and you wash,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
74,,,nya-ba'ma,you bogey,you wash,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
75,,,bordewg malam-nawu yaw' yaw' ngarla-bu-yi-n narriwa-ba,bad          body   his    splash water we mob self Pres that  Emph,When your body feels bad we splash water                        (with) that one,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
76,,,mulugmulug nya-ba'mari?,yesterday      you   were bogeying?,Did you wash yesterday?,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
77,,,mulugmulug,yesterday      ,yesterday,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
78,,,nga-ba'mari,I      was bogeying,I had a wash,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
79,,,yaw'yaw' nya-bu-yi-n,splash water you/it  self Pres,spalsh water on yourself,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
80,,,yaw'yaw' a-nya-buyi-n ,splash water should you/it self ,splash water on yourself,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
81,,,ngugu nya-ja,water   you/it  drink,drink water,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
82,,,narra nya-ja,that    you/it drink,you drink that,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
83,,,jagina ja-wu ngugu,what   drink will (he/it) water,what water will she drink ?,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
84,,,what   drink will (he/it) water,jijga-ya a-nya-ja jalugma-wu,where is the water that to drink,,,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
85,,,jijga-ya a-nya-ja jalugma-wu,little   maybe  you drink for cold,Drink a little when it is cold,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
86,,,na-jijga,for little   ,a little bit,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
87,,,ngarla-wanggij ja-wa-n barrigod,female Subj I child Pres (he/it) get cup  ,that (girl) child is bringing a cup,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
88,,,nya-mi nyanggi,you/it get  you,"you, you get it",Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
89,,,ngorrgngorrg,crunchy,crunchy,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
90,,,marrb marrb nama na-wirla, tie   tie                     with   vine,tie it up with a bandage,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
91,,,marrb nama a-nya-ma-wu, tie               should  you/it do,you put a bandage on,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
92,,,marrb nama,,bandage it up,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
93,,,na-birlbu ma ngangga,    strong   make  you/it,it makes you stronger,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
94,,,narra mun,that    all /only,that's all,bush medicine_18 July_18,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
95,,,jalug ga-nya-ma malam-ngangga,is cold  Pres  you  body   your,your body is cold (you are cold),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
96,,,jalugmayin narra-nawu     wurr-nani        nga-ba'mari,  cold           that  its       those two/it were burning I was bogeying, When that was cold those two heated it    I was bogeying,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
97,,,nya-ba'ma jalug nya-ma mangaya barlalaga,you   bogey  is  cold  you   maybe  today,you wash when you are cold maybe straight away,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
98,,,mangaya bamburriyi nya-mi-wu,maybe       better          you/it  get  will,maybe better you take it ,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
99,,,nya-mi-wu,you/it get   will,you should take it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
100,,,mangaya bobob nya-ma-wu nya-nan-gu malam-ngangga  narriwa a-nya-ba'ma,maybe        hot   you         will be you burn body your  that  should you/it bogey      ,Maybe you are hot and your body ,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
101,,,maybe        hot   you         will be you burn body your  that  should you/it bogey      ,na-dim-gu,is burning up you bogey in that,,,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
102,,,na-dim-gu,for sores,for sores,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
103,,,niwa ngarla-bardnama ga-ngarla-nidba dib,This we mob/it   put      Pres   we mob   have sore,we put this on when we have sores,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Using Bush medicine
104,,,Na-jal,,First Homestead (Warloch Ponds),,,Country Place,Place,,names of places
105,,,Na-jig,,Second Homestead (Red Lily),,,Country Place,Place,,names of places
106,,,Garlyag                                          ,,Warloch Ponds,,,Country Place,Place,,names of places
107,,,Bulula,,The Jungle,,,Country Place,Place,,names of places
108,,,Ngarrmirn.gan,,Red Lily,,,Country Place,Place,,names of places
109,,,Manyjurn.gan       ,,2 Mile,,,Country Place,Place,,names of places
110,,,yarrayg galma wa-niyn,,where the Yam got up (dreaming),,,Country Place,Place,,names of places
111,,,Guyanggan                                     ,,Current Station,,,Country Place,Place,,names of places
112,,,Little Jembere,,,,,Country Place,Place,,names of places
113,,,Jembere,,Old name for Community (Also refrred to as Duck Creek),MR2-003-A,Amy Dirn.gayg,Country Place,Place,,names of places
114,,,Jilkminggan (Pron Jilkmirngan),,Current  Name for community,MR2-003-A,Amy Dirn.gayg,Country Place,Place,,names of places
115,,,ngaya Jilkmirn.kan ka-nga-ni,,I live in Jilkminggan,MR2-003-A,Sheila Conway,Country Place,Place,,names of places
116,,,Barlmarrag,,,MR2-003-A,Amy Dirn.gayg,Country Place,Place,,names of places
117,,,barlmarang-garlama,,to Barlmarrag,MR2-003-A,Amy Dirn.gayg,Country Place,Place,,names of places
119,,,Murrwale ,,The Crossing (also referred to as Wurlulu - running water ie rapids),,,Country Place,Place,,names of places
120,,,Naburl,,Elsey Falls,,,Country Place,Place,,names of places
121,,,Gorrowan,,Mataranka Falls,,,Country Place,Place,,names of places
122,,,Na-murrinyjayan ,,area of Eucalyptus trees on the bank,,,Country Place,Place,,names of places
123,,,Jarlmurrag,,12 Mile,,,Country Place,Place,,names of places
124,,,Mularag ,,  ,,,Country Place,Place,,names of places
125,,,Na-jig,,Mataranka Homestead,,,Country Place,Place,,names of places
126,,,Gorran                                     ,,  Bitter Springs,,,Country Place,Place,,names of places
127,,,Siding ,,Old name for Mataranka as it used to be a railway siding,MR2-003-A,Amy Dirn.gayg,Country Place,Place,,names of places
128,,,Siding-gana,,from Mataranka_,MR2-003-A,Sheila Conway,Country Place,Place,,names of places
129,,,Yumbugi,,Donkey Flat,,,Country Place,Place,,names of places
130,,,Gulun,,Long Reach,,,Country Place,Place,,names of places
131,,,balayi ngugu,,the big river                            ,MR2-001-B,Amy Dirn.gayg,Country Place,Landscape,,describing the landscape
132,,,big      water,,,,,Country Place,Landscape,,describing the landscape
133,,,dardardarl,,  plain,,,Country Place,Landscape,,describing the landscape
134,,,lurblurbminyi,,clay pans,,,Country Place,Landscape,,describing the landscape
135,,,jalwayi ,,"mud, muddy place",,,Country Place,Landscape,,describing the landscape
136,,,Ngajgan,,bush,,,Country Place,Landscape,,describing the landscape
137,,,birn.gan,,scrub (area on road out of community) CHECK,,,Country Place,Landscape,,describing the landscape
138,,,werdeng,,desert country (in Yangman buyirrin),,,Country Place,Landscape,,describing the landscape
139,,,ngugu-wi,,without water,,,Country Place,Landscape,,describing the landscape
140,,,wurray,,black soil country,,,Country Place,Landscape,,describing the landscape
141,,,bundal,,billabong,,,Country Place,Landscape,,describing the landscape
142,,,ngugu,,water,,,Country Place,Landscape,,describing the landscape
143,,,gurrungarran,,salt water,,,Country Place,Landscape,,describing the landscape
144,,,jadba,,river,,,Country Place,Landscape,,describing the landscape
145,,,darrarra,,creek (tributary),,,Country Place,Landscape,,describing the landscape
146,,,wurlulu (wurlurlu),,running water (rapids),,,Country Place,Landscape,,describing the landscape
147,,,gayanja,,East (Sun up),MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
148,,,biya,,down river (East),MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
149,,,gayarra,,West (Sun go down),MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
150,,,gawarr,,up river (West),MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
151,,,bujba ,,  North,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
152,,,ngariman,,South,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
153,,,gal' ma ja-ni na-ganywar-bayi gany(a)jang-gana , climb up  Pres (he)   Subj  sun   Emphasis east        from,the sun rises in the east                      ,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
154,,,gayanjang-gana gal'ma ja-ni na-ganywarr-bayi,  east        from     climb   Pres (he) Subj   sun     Emphasis,the sun rises in the east  ,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
155,,,na-ganywarr gal'ma ja-ni nangganwa gayanja,Subj   sun     climb  Pres (he)   there          east,the sun comes up there  in the east,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Cardinal points
156,,,Jana-ba wurlulu?,where Emphasis running water (rapids),Where is the crossing?,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Asking where something is
157,,,Jananggan-ba ja-wurla-mi mawuj,where Emphasis Pres they/it get food,Where do they get tucker?,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,Asking where something is
158,,,narra-jaga ngariman,there just    south,that is just there to the South,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
159,,,narriwa-jaga ngariman yag,there just    south   go,go just there to the South,MR2-003-B,,Country Place,Directions,,saying where something is
160,,,garri-jaga gayarra gawarr,over there just  west  upriver,"Just over there, west, upriver",MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
161,,,garri yarri ngarla-yag,here  there   we     go,we go here and there,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
162,,,garri-wa ga-nga-yag    ,over there  Pres I go,I go over that way,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
163,,,nawu-wa, this side  ,this side of the river,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
164,,,ni-jaga gawarr,there just upriver,just there upriver ,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
165,,,ni-jaga gayanja,there just east,just there East,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
166,,,ni-yarri-jaga wurla-yaj wurla-yinyi garriwa,there somewhere just they went they  were going  over there,"they went somewhere, they were going there",MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
167,,,niwa-jaga galiya-wi ,here just  far   without,just here not far,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
168,,,galiya,far,far away,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
169,,,mirlirriwa,close by,close by  ,MR2-003-B,Amy Dirn.gayg,Country Place,Directions,,saying where something is
170,,,na-ganywarr ,with   sun,It's sunny,MR2-003-B,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
171,,,mirlirl ja-ma    na-ganywarr,rise    Pres (he)  Subject sun,the sun rises,MR2-003-B,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
172,,,na-jab ja-ninga-n,Subj  wind  Pres (he) come,It's windy,MR2-003-B,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
173,,,gardi na-jab ,look for  wind,look at (as in wow!) the wind,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
174,,,jilg ja-wayi-n garnan,fall Pres (it)      rain,it's raining (the rain is falling) ,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
175,,,na-jijga jilg ja-wayi-n garnan,for little fall   Pres (it)   rain,it's raining a little                  ,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
176,,,dayi na-balayi jilg wayi-n,not   for big      fall      Pres,It's not raining a lot,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
177,,,miyarr-awu,cloud   his,It's cloudy,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
178,,,na-miyarr-awu ja-ninga-n jard ja-bu-n ganywarr,Subj cloud his   Pres come shut off  Pres (it)  sun,when the clouds arrive they cover the sun,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
179,,,budij ja-bu-n na-jab,swirl   Pres (He) Subj wind,the wind swirls   ,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
180,,,larrg ga-ngan-daya,bite   Pres it/me,It's cold / I'm cold ,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
181,,,milgmilg larrg ga-ngan-daya,cold            bite  Pres it/me,It's cold / I'm cold ,MR2-003-A,Amy Dirn.gayg,Country Place,Weather,,saying what the weather is like
182,,,bobob ga-nga-ma,  am hot  Pres  I,It's hot / I'm hot,MR2_002_B,Sheila Conway,Country Place,Weather,,saying what the weather is like
